DCNv3-FPN - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 11:33:12
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n-neck-fpn/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9962
IDF1:               0.9981
ID Switches:        1120
Fragmentations:     3778
Mostly Tracked (MT):7294 (87.5%)
Mostly Lost (ML):   57 (0.7%)
Track IDs Assigned: 8333
Unique Vehicles:    5911
Duplicate Tracks:   2422
GFLOPs:             nan
FPS:                58.67
Runtime:            03:04:04
Class Switches:     6416

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2706
  MOTORCYCLE      397
  TRICYCLE        43
  VAN             490
  BUS             0
  TRUCK           0
  TOTAL           3636

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
04:15:00-04:20:00 4        21       29       13.79      72.41     
04:20:00-04:25:00 1        3        12       8.33       25.00     
04:25:00-04:30:00 0        18       18       0.00       100.00    
04:30:00-04:35:00 2        40       32       6.25       125.00    
04:35:00-04:40:00 4        38       35       11.43      108.57    
04:40:00-04:45:00 6        22       53       11.32      41.51     
04:45:00-04:50:00 16       90       74       21.62      121.62    
04:50:00-04:55:00 12       137      98       12.24      139.80    
04:55:00-05:00:00 6        52       60       10.00      86.67     
05:00:00-05:05:00 14       106      95       14.74      111.58    
05:05:00-05:10:00 5        62       48       10.42      129.17    
05:10:00-05:15:00 14       38       60       23.33      63.33     
05:15:00-05:20:00 7        25       74       9.46       33.78     
05:20:00-05:25:00 17       58       81       20.99      71.60     
05:25:00-05:30:00 9        58       69       13.04      84.06     
05:30:00-05:35:00 4        34       64       6.25       53.12     
05:35:00-05:40:00 13       30       98       13.27      30.61     
05:40:00-05:45:00 4        13       38       10.53      34.21     
05:45:00-05:50:00 3        19       27       11.11      70.37     
05:50:00-05:55:00 4        15       45       8.89       33.33     
05:55:00-06:00:00 3        41       29       10.34      141.38    
06:00:00-06:05:00 2        18       25       8.00       72.00     
06:05:00-06:10:00 3        30       41       7.32       73.17     
06:10:00-06:15:00 3        32       36       8.33       88.89     
06:15:00-06:20:00 6        17       27       22.22      62.96     
06:20:00-06:25:00 3        24       42       7.14       57.14     
