DCNv3-Full - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 18:13:42
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9073
IDF1:               0.9087
ID Switches:        784
Mostly Tracked (MT):(90.7%)
Mostly Lost (ML):   (0.2%)
GFLOPs:             nan
FPS:                81.99
Runtime:            01:54:17
Class Switches:     7452

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4655
  MOTORCYCLE      321
  TRICYCLE        190
  VAN             560
  BUS             0
  TRUCK           17
  TOTAL           5743

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
00:25:00-00:30:00 5        110      91       5.49       120.88    
00:30:00-00:35:00 8        96       126      6.35       76.19     
00:35:00-00:40:00 15       136      117      12.82      116.24    
00:40:00-00:45:00 17       164      108      15.74      151.85    
00:45:00-00:50:00 6        34       87       6.90       39.08     
00:50:00-00:55:00 9        150      113      7.96       132.74    
00:55:00-01:00:00 9        110      121      7.44       90.91     
01:00:00-01:05:00 12       40       108      11.11      37.04     
01:05:00-01:10:00 7        28       112      6.25       25.00     
01:10:00-01:15:00 5        83       106      4.72       78.30     
01:15:00-01:20:00 13       93       118      11.02      78.81     
01:20:00-01:25:00 18       77       140      12.86      55.00     
01:25:00-01:30:00 12       75       139      8.63       53.96     
01:30:00-01:35:00 15       111      137      10.95      81.02     
01:35:00-01:40:00 19       107      134      14.18      79.85     
01:40:00-01:45:00 6        78       124      4.84       62.90     
01:45:00-01:50:00 13       77       140      9.29       55.00     
01:50:00-01:55:00 9        93       129      6.98       72.09     
01:55:00-02:00:00 17       194      155      10.97      125.16    
02:00:00-02:05:00 12       99       136      8.82       72.79     
02:05:00-02:10:00 17       147      143      11.89      102.80    
