DCNv3-Pan - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 23:32:02
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_pan/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9174
IDF1:               0.9287
ID Switches:        915
Mostly Tracked (MT):(91.2%)
Mostly Lost (ML):   (0.2%)
GFLOPs:             nan
FPS:                60.13
Runtime:            02:35:49
Class Switches:     10422

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4714
  MOTORCYCLE      379
  TRICYCLE        189
  VAN             498
  BUS             2
  TRUCK           7
  TOTAL           5789

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
02:40:00-02:45:00 3        34       47       6.38       72.34     
02:45:00-02:50:00 2        36       51       3.92       70.59     
02:50:00-02:55:00 1        64       78       1.28       82.05     
02:55:00-03:00:00 4        48       62       6.45       77.42     
03:00:00-03:05:00 0        55       52       0.00       105.77    
03:05:00-03:10:00 8        101      108      7.41       93.52     
03:10:00-03:15:00 15       117      117      12.82      100.00    
03:15:00-03:20:00 8        105      82       9.76       128.05    
03:20:00-03:25:00 1        63       63       1.59       100.00    
03:25:00-03:30:00 2        77       70       2.86       110.00    
03:30:00-03:35:00 5        82       61       8.20       134.43    
03:35:00-03:40:00 5        70       75       6.67       93.33     
03:40:00-03:45:00 3        52       55       5.45       94.55     
03:45:00-03:50:00 1        15       37       2.70       40.54     
03:50:00-03:55:00 0        29       38       0.00       76.32     
03:55:00-04:00:00 0        43       46       0.00       93.48     
04:00:00-04:05:00 2        57       44       4.55       129.55    
04:05:00-04:10:00 4        59       60       6.67       98.33     
04:10:00-04:15:00 4        37       51       7.84       72.55     
04:15:00-04:20:00 2        40       61       3.28       65.57     
04:20:00-04:25:00 2        82       79       2.53       103.80    
04:25:00-04:30:00 16       72       102      15.69      70.59     
04:30:00-04:35:00 6        69       90       6.67       76.67     
04:35:00-04:40:00 8        86       73       10.96      117.81    
04:40:00-04:45:00 2        90       64       3.12       140.62    
04:45:00-04:50:00 12       106      90       13.33      117.78    
04:50:00-04:55:00 4        63       61       6.56       103.28    
04:55:00-05:00:00 12       120      99       12.12      121.21    
05:00:00-05:05:00 7        80       65       10.77      123.08    
05:05:00-05:10:00 2        46       59       3.39       77.97     
05:10:00-05:15:00 15       104      80       18.75      130.00    
05:15:00-05:20:00 4        44       35       11.43      125.71    
05:20:00-05:25:00 3        47       53       5.66       88.68     
05:25:00-05:30:00 6        87       59       10.17      147.46    
05:30:00-05:35:00 3        61       69       4.35       88.41     
05:35:00-05:40:00 2        28       35       5.71       80.00     
05:40:00-05:45:00 4        64       55       7.27       116.36    
05:45:00-05:50:00 1        58       44       2.27       131.82    
05:50:00-05:55:00 5        37       41       12.20      90.24     
05:55:00-06:00:00 6        90       83       7.23       108.43    
06:00:00-06:05:00 3        74       59       5.08       125.42    
06:05:00-06:10:00 2        98       53       3.77       184.91    
06:10:00-06:15:00 6        67       67       8.96       100.00    
06:15:00-06:20:00 8        83       66       12.12      125.76    
06:20:00-06:25:00 4        77       47       8.51       163.83    
06:25:00-06:30:00 6        95       63       9.52       150.79    
06:30:00-06:35:00 8        90       66       12.12      136.36    
06:35:00-06:40:00 10       124      84       11.90      147.62    
06:40:00-06:45:00 4        98       71       5.63       138.03    
06:45:00-06:50:00 2        75       48       4.17       156.25    
06:50:00-06:55:00 1        52       46       2.17       113.04    
06:55:00-07:00:00 2        79       72       2.78       109.72    
07:00:00-07:05:00 3        85       54       5.56       157.41    
07:05:00-07:10:00 5        128      78       6.41       164.10    
07:10:00-07:15:00 3        88       89       3.37       98.88     
07:15:00-07:20:00 6        137      86       6.98       159.30    
07:20:00-07:25:00 2        142      65       3.08       218.46    
07:25:00-07:30:00 10       80       64       15.62      125.00    
07:30:00-07:35:00 6        130      77       7.79       168.83    
07:35:00-07:40:00 14       139      93       15.05      149.46    
07:40:00-07:45:00 7        136      72       9.72       188.89    
07:45:00-07:50:00 5        83       60       8.33       138.33    
07:50:00-07:55:00 18       147      104      17.31      141.35    
07:55:00-08:00:00 4        97       77       5.19       125.97    
08:00:00-08:05:00 3        53       62       4.84       85.48     
08:05:00-08:10:00 2        48       59       3.39       81.36     
08:10:00-08:15:00 0        28       52       0.00       53.85     
08:15:00-08:20:00 3        54       57       5.26       94.74     
08:20:00-08:25:00 0        26       31       0.00       83.87     
08:25:00-08:30:00 9        93       83       10.84      112.05    
08:30:00-08:35:00 4        100      91       4.40       109.89    
08:35:00-08:40:00 7        80       56       12.50      142.86    
08:40:00-08:45:00 3        77       72       4.17       106.94    
08:45:00-08:50:00 6        99       70       8.57       141.43    
08:50:00-08:55:00 10       70       76       13.16      92.11     
08:55:00-09:00:00 1        37       70       1.43       52.86     
09:00:00-09:05:00 20       48       83       24.10      57.83     
09:05:00-09:10:00 5        50       74       6.76       67.57     
09:10:00-09:15:00 17       162      91       18.68      178.02    
09:15:00-09:20:00 13       52       74       17.57      70.27     
09:20:00-09:25:00 4        61       77       5.19       79.22     
09:25:00-09:30:00 3        46       85       3.53       54.12     
09:30:00-09:35:00 8        96       103      7.77       93.20     
09:35:00-09:40:00 11       97       81       13.58      119.75    
09:40:00-09:45:00 2        74       68       2.94       108.82    
09:45:00-09:50:00 0        49       42       0.00       116.67    
09:50:00-09:55:00 6        66       57       10.53      115.79    
09:55:00-10:00:00 2        61       48       4.17       127.08    
10:00:00-10:05:00 7        68       82       8.54       82.93     
10:05:00-10:10:00 3        48       60       5.00       80.00     
10:10:00-10:15:00 3        65       66       4.55       98.48     
10:15:00-10:20:00 1        43       65       1.54       66.15     
10:20:00-10:25:00 2        33       44       4.55       75.00     

CLASSIFICATION SWITCHES: 10422 total
Frame    ID     From         To          
31       4      motorcycle   car         
49       4      car          tricycle    
51       4      tricycle     car         
51       5      car          tricycle    
845      20     car          tricycle    
846      20     tricycle     car         
886      23     car          van         
890      23     van          car         
892      23     car          van         
921      26     car          van         
923      23     van          car         
943      26     van          car         
944      26     car          van         
945      26     van          car         
946      26     car          van         
952      26     van          car         
964      26     car          van         
972      26     van          car         
1048     32     car          van         
1079     33     car          van         
1082     33     van          car         
1119     33     car          van         
1122     33     van          car         
1123     33     car          van         
1137     33     van          car         
1145     35     car          van         
1147     35     van          car         
1151     35     car          van         
1152     35     van          car         
1153     35     car          van         
1155     35     van          car         
1173     35     car          van         
1323     44     car          tricycle    
1324     44     tricycle     car         
1324     45     car          tricycle    
1325     44     car          tricycle    
1325     45     tricycle     car         
1333     44     tricycle     truck       
1337     44     truck        van         
1364     44     van          car         
1412     48     car          tricycle    
1413     48     tricycle     car         
1840     58     car          tricycle    
1841     58     tricycle     car         
1903     63     car          tricycle    
1906     63     tricycle     car         
2012     69     car          tricycle    
2014     69     tricycle     car         
2183     74     car          tricycle    
2185     74     tricycle     car         
2222     75     car          van         
2227     75     van          truck       
2228     75     truck        van         
2229     75     van          truck       
2231     75     truck        van         
2232     75     van          car         
2235     75     car          van         
2253     75     van          car         
2440     78     car          tricycle    
2443     78     tricycle     car         
2570     84     car          tricycle    
2571     84     tricycle     car         
2832     87     car          van         
2841     87     van          car         
