DCNv2-Full - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-19 01:31:12
Model: /home/migui/Downloads/dcnv2-yolov8-neck-full-20260318T004120Z-1-001/dcnv2-yolov8-neck-full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9373
IDF1:               0.9387
ID Switches:        643
Mostly Tracked (MT): (91.5%)
Mostly Lost (ML):    (0.2%)
GFLOPs:             nan
FPS:                102.06
Runtime:            01:31:48
Class Switches:     6695

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4708
  MOTORCYCLE      326
  TRICYCLE        194
  VAN             504
  BUS             1
  TRUCK           10
  TOTAL           5743

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
10688    340    van          car         
10782    340    car          van         
10783    340    van          car         
11248    360    van          car         
11249    360    car          van         
11280    362    car          van         
11281    362    van          car         
11719    371    car          van         
11759    371    van          car         
11929    376    van          car         
11952    376    car          van         
11965    376    van          car         
11993    377    car          van         
12003    377    van          car         
12011    377    car          van         
12021    378    van          car         
12037    378    car          van         
12038    378    van          car         
12039    377    van          car         
12041    378    car          van         
12043    378    van          car         
12044    378    car          van         
12046    378    van          car         
12048    378    car          van         
12054    378    van          car         
12057    378    car          van         
12058    378    van          car         
12059    378    car          van         
12060    378    van          car         
12095    381    van          car         
12221    383    van          car         
12539    394    car          van         
12552    394    van          car         
12653    400    van          car         
12728    401    van          car         
12873    401    car          van         
12890    401    van          car         
12923    401    car          van         
12927    401    van          car         
12929    401    car          van         
12934    401    van          car         
13098    413    van          car         
13101    413    car          van         
13102    413    van          car         
13104    413    car          van         
13148    413    van          car         
13286    420    van          car         
13303    420    car          van         
13318    420    van          car         
13328    420    car          van         
13374    420    van          car         
13375    420    car          van         
13397    420    van          car         
13701    431    car          truck       
13715    431    truck        car         
13718    431    car          truck       
13721    431    truck        car         
13749    433    car          van         
13757    433    van          truck       
13771    433    truck        van         
14231    445    van          car         
14312    448    van          car         
14313    448    car          van         
14323    448    van          truck       
14324    448    truck        van         
14325    448    van          truck       
14326    448    truck        van         
14368    448    van          car         
14371    451    car          van         
14448    451    van          car         
14774    470    car          van         
14775    470    van          car         
14809    475    car          van         
14811    475    van          car         
14812    473    car          van         
14816    473    van          car         
14820    473    car          van         
14844    473    van          car         
14845    473    car          van         
14855    473    van          car         
14876    473    car          van         
15016    484    van          car         
15483    493    car          van         
15484    493    van          car         
15594    498    van          car         
15595    498    car          van         
15598    498    van          car         
15722    504    car          van         
15730    504    van          car         
15733    504    car          truck       
15738    504    truck        car         
15741    504    car          van         
15749    504    van          car         
15751    504    car          van         
15753    504    van          car         
15754    504    car          van         
15835    508    van          car         
15885    513    van          car         
15887    513    car          van         
15970    513    van          car         
15983    513    car          van         
16003    513    van          car         
16008    513    car          van         
16025    513    van          car         
16038    513    car          van         
16047    513    van          car         
16070    520    car          van         
16082    520    van          truck       
16093    520    truck        van         
16294    531    van          car         
16323    534    car          truck       
16334    534    truck        car         
16349    531    car          van         
16420    531    van          car         
16453    531    car          van         
16460    531    van          car         
16461    531    car          van         
16462    531    van          car         
16463    531    car          van         
16464    531    van          car         
16472    531    car          van         
