DCNv2-Full - 6to6_g29.mp4 Full Tracking Report
============================================================
Date: 2026-03-19 07:42:05
Model: /home/migui/Downloads/dcnv2-yolov8-neck-full-20260318T004120Z-1-001/dcnv2-yolov8-neck-full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g29.mp4
Frames: 648099 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9285
IDF1:               0.9392
ID Switches:        1367
Mostly Tracked (MT):(87.2%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                97.66
Runtime:            01:50:36
Class Switches:     5363

TOTAL VEHICLE COUNTS
------------------------------
  CAR             3969
  MOTORCYCLE      470
  TRICYCLE        121
  VAN             599
  BUS             1
  TRUCK           2
  TOTAL           5162

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
33689    690    van          car         
33693    692    van          car         
33700    692    car          van         
33709    690    car          van         
33721    692    van          car         
33724    692    car          van         
33763    690    van          car         
33839    690    car          van         
33840    690    van          car         
33924    690    car          van         
33936    690    van          car         
34230    690    car          van         
35930    690    van          car         
35939    690    car          van         
36261    713    van          car         
36273    713    car          van         
36502    713    van          car         
36522    713    car          van         
36542    713    van          car         
36582    713    car          van         
36587    713    van          car         
36741    713    car          van         
36750    713    van          car         
36756    713    car          van         
36760    713    van          car         
36909    713    car          van         
36945    713    van          car         
36986    713    car          van         
36997    713    van          car         
37015    713    car          van         
37076    713    van          car         
37080    713    car          van         
37170    713    van          car         
37187    713    car          van         
37502    713    van          car         
37516    713    car          van         
37659    713    van          car         
38619    713    car          van         
38763    713    van          car         
39012    717    car          van         
39014    717    van          car         
39016    717    car          van         
39017    717    van          car         
39018    717    car          van         
39027    717    van          car         
39426    747    car          tricycle    
39428    747    tricycle     car         
39901    786    van          car         
39919    782    van          car         
40356    816    car          van         
40491    828    car          van         
40506    828    van          car         
40517    828    car          van         
40525    828    van          car         
40528    828    car          van         
40540    828    van          car         
40544    828    car          van         
40545    835    car          van         
40561    825    car          van         
40563    825    van          car         
40594    835    van          car         
40627    835    car          van         
40628    835    van          car         
40680    828    van          car         
40722    846    van          car         
40782    841    car          van         
40783    841    van          car         
40817    849    car          van         
40908    851    car          van         
41104    851    van          car         
41674    861    car          van         
41679    861    van          car         
41703    861    car          van         
41706    861    van          car         
41730    861    car          van         
41732    861    van          car         
41733    861    car          van         
41738    861    van          car         
41740    861    car          van         
41741    861    van          car         
41747    861    car          van         
41971    864    car          van         
41976    864    van          car         
41977    864    car          van         
41978    864    van          car         
41979    864    car          van         
41980    864    van          car         
41983    864    car          van         
41985    864    van          car         
42001    864    car          van         
46087    861    van          car         
46090    861    car          van         
46479    929    car          van         
